artist.hotttnesss,artist.id,artist.name,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,song.hotttnesss,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year,clusters
0.580095045,ARF6ZTO1187FB3684F,Story Of The Year,,0,0.075,1.38481,0.424,0.95885,224.41751000000002,2.241,0.8067625959999999,7,0.19699999999999998,37.15735675,"LONG BEACH, California",-63.93335787,-3.487,0,0.456,729628,The Constant [Deluxe Edition],0.628217965,SOJYPGP12AC960DE2A,220.555,0.187,0.75057,143.83700000000002,screamo,0.9994248,7,1.0,Won Threw Ate,2010,513
0.297949266,ARGTUWC1187B9904A0,Susana Seivane,,0,0.10800000000000001,0.94375,0.638,0.54925,294.05995,0.0,0.352212817,0,0.858,37.15735675,Not available,-63.93335787,-14.467,1,0.695,789959,Os soA+-os que volven,0.0,SOXRRIP12AC4686877,265.52,0.516,0.35102,150.782,gaita,1.0,5,1.0,Mazurcas das RAas Baixas,2010,369
0.517342286,AR7N7MI1187FB46935,Sade,uk,1,0.13,0.52935,0.0,0.52935,234.26567000000003,2.9139999999999997,0.77149215,7,0.794,7.378839999999999,"Ibadan, Nigeria",3.8952699999999996,-17.279,0,0.8170000000000001,695571,Soldier of Love,0.687434282,SONKLLM12AB0188175,221.90099999999998,0.162,0.52935,87.553,quiet storm,0.999829257,5,1.0,Morning Bird,2010,599
0.677482479,ARC8CQZ1187B98DECA,Jack Johnson,folk,2,0.055,0.91722,1.0,0.35764,196.20526,0.33399999999999996,0.8320117709999999,2,1.0,37.15735675,"Galveston, TX",-63.93335787,-7.045,1,0.706,785446,You And Your Heart,0.918534291,SOGCDYR12AC961854A,179.66400000000002,1.0,0.07644,107.042,rock,1.0,4,1.0,You And Your Heart,2010,16
1.082502557,ARRH63Y1187FB47783,Kanye West / Lupe Fiasco,hip-hop,2,0.319,0.8602799999999999,0.72,0.2976,236.72117999999998,0.258,0.8772137459999999,9,0.0,37.15735675,"Atlanta, GA",-63.93335787,-5.263,1,0.07200000000000001,351707,Touch The Sky,,SOJKTJG12AB0182516,236.72099999999998,0.894,0.2976,106.825,hip hop,1.0,4,1.0,Touch The Sky,2010,791
0.495523045,ARF3FBD1187FB40B90,Little Brother,,0,0.198,1.19355,0.5579999999999999,0.19785,245.28933999999998,0.0,0.734630318,11,0.542,37.15735675,"Durham, NC",-63.93335787,-7.534,0,0.55,782602,LeftBack,0.67533421,SOSOEOS12AC468911E,242.399,0.679,0.19785,100.415,hip hop,1.0,4,1.0,Second Chances feat. Bilal & Darien Brockington,2010,954
0.854637828,ARPDVPJ1187B9ADBE9,Usher,hip hop rnb and dance hall,1,0.042,0.9008700000000001,0.21600000000000003,0.27716999999999997,224.10404,0.0,0.8564489240000001,11,0.37200000000000005,37.15735675,"Atlanta, GA",-63.93335787,-4.328,1,0.414,763964,Raymond v Raymond,0.7856795870000001,SOLZOBD12AB0185720,220.18900000000002,0.0,0.27716999999999997,95.99799999999999,hip hop,1.0,4,1.0,Hey Daddy (Daddy's Home),2010,325
0.297949266,ARGTUWC1187B9904A0,Susana Seivane,,0,0.018000000000000002,0.57605,0.815,0.15761,350.71955,0.519,0.352212817,10,0.8809999999999999,37.15735675,Not available,-63.93335787,-13.038,1,0.9009999999999999,789959,Os soA+-os que volven,0.0,SOHXKAN12AC46872F1,334.17,0.47700000000000004,0.15761,152.013,gaita,1.0,4,1.0,Para Milladoiro,2010,526
0.512226738,AR035N21187FB3938E,BT feat. JES,trance,2,0.40299999999999997,0.03951,0.9179999999999999,0.03951,550.97424,0.0,0.786427083,6,0.6629999999999999,34.23294,Earth,-102.4102,-5.212999999999999,0,0.629,754719,Every Other Way,0.430160637,SONIUEQ12AB0184D1A,539.55,0.9179999999999999,0.03951,168.47400000000002,electronica,0.999989369,4,1.0,Every Other Way,2010,557
0.465499679,ARQI60P1187FB464C9,The Ocean,,0,0.046,0.75178,0.207,0.31827,128.83546,0.0,0.636418948,5,0.611,42.98689,"London, Ontario, Canada",-81.24620999999999,-8.966000000000001,0,0.7120000000000001,780297,Heliocentric,0.62646424,SOHFNIA12AC4689741,116.59899999999999,0.892,0.10205,139.972,sludge metal,0.969700956,4,1.0,Catharsis Of A Heretic,2010,45
0.4165294,ARB4ZRM1187B993147,Dark Fortress,melodic black metal,2,0.295,1.27947,0.0,0.29094000000000003,336.16934,0.0,0.6339327260000001,3,0.0,37.15735675,Not available,-63.93335787,-3.832,1,0.0,708849,Ylem,0.7544044109999999,SOLCWWS12AB0188F42,307.54200000000003,0.33299999999999996,0.29094000000000003,127.81700000000001,sympho black metal,0.944116121,4,1.0,Evenfall,2010,0
0.36681613399999996,ARQY95Q1187FB3E53A,Melissa Auf der Maur,rock and indie,1,0.132,0.41622,0.948,0.41622,232.6722,5.114,0.569988889,4,0.026000000000000002,37.15735675,Not available,-63.93335787,-6.412999999999999,1,0.275,775336,Out Of Our Minds,0.24903726899999998,SOYCSXH12AC3A4DF57,227.72400000000002,0.0,0.14325,121.98299999999999,post-grunge,0.892010815,4,1.0,The Key,2010,947
0.601729756,ARXSABJ1187FB3C336,Deftones,alternative metal,2,0.741,2.81236,0.741,2.81236,188.26404,7.715,0.821697317,8,0.544,37.15735675,"Sacramento, CA",-63.93335787,-4.365,1,0.424,812391,Diamond Eyes,0.6275314670000001,SOZWCKB12AB0186C5B,188.264,0.045,2.81236,153.713,rap metal,0.948416824,1,1.0,Diamond Eyes (Album Version),2010,6
0.23904113899999999,ARQRDOM1264D13A4E5,A Tundra,,0,0.153,0.99064,0.767,0.32789,271.3073,0.142,0.494301824,2,0.384,37.15735675,Not available,-63.93335787,-9.698,1,0.363,705424,Joan of Arc Presents: Don't Mind Control,0.266955186,SOLSWGZ12AB0183E38,266.257,0.39799999999999996,0.16475,177.958,beat,0.73121933,3,0.985,The Doug McComb Over,2010,30
0.517259283,ARMD6JB1187FB3B0E7,Die Fantastischen Vier,german,2,0.087,0.28284000000000004,0.762,0.28284000000000004,316.55138,0.239,0.6864520829999999,10,0.0,37.15735675,Germany,-63.93335787,-7.43,1,0.24600000000000002,809638,FA1/4r Dich Immer Noch Fanta Sie,0.600471581,SODJEJR12AB018A460,312.436,0.43799999999999994,0.11804,95.863,pop rap,0.980635536,4,0.932,Was wollen wir noch mehr?,2010,492
0.395352793,AR9YI7H1187B9960E3,Dobet GnahorA(c),,0,0.12,1.05051,1.0,0.17781,46.210159999999995,0.311,0.45005356799999996,1,0.6629999999999999,37.15735675,BELGIUM,-63.93335787,-15.912,0,0.623,800719,Djekpa la you,0.405115722,SOBYHEB12AB01877E6,46.21,0.42200000000000004,0.17781,142.782,blues-rock,0.93696032,3,0.914,Wigue,2010,435
0.405618982,ARQDWBG1187B9891D7,Zeromancer,industrial rock,1,0.08199999999999999,0.7307600000000001,0.221,0.28876,207.17668999999998,0.0,0.644519692,4,0.677,37.15735675,Not available,-63.93335787,-6.236000000000001,0,0.733,757194,The Death Of Romance,0.7641169809999999,SOZEFPO12AB0184AEC,197.57299999999998,0.525,0.06667999999999999,117.027,industrial rock,0.855788212,4,0.8590000000000001,The Death Of Romance,2010,235
0.446083936,ARHGGCU125FEF328D7,Nick Jonas & The Administration,,0,0.035,1.8967200000000002,1.0,0.58905,214.72607999999997,0.215,0.562642008,4,0.6409999999999999,37.15735675,Los Angeles,-63.93335787,-4.38,1,0.5760000000000001,697378,Who I Am,0.822402885,SOIXTNA12AC46882E8,211.325,1.0,0.26019000000000003,92.105,blues-rock,0.900921285,4,0.858,State of Emergency,2010,216
0.533842727,ARVBP9K1187FB48254,Cancer Bats,rock and indie,1,0.15,1.05196,0.851,0.34726,180.71465,0.0,0.689800593,6,0.17,43.648559999999996,"Toronto, Ontario, Canada",-79.38533000000001,-4.834,0,0.528,744214,Sabotage,0.726267401,SOHTWEG12AB018D11C,166.342,0.642,0.34726,86.01,southern rock,0.9434609270000001,4,0.8240000000000001,Sabotage,2010,941
0.36313240399999996,ARI28VJ1187FB4EAD7,Slackbaba,,0,0.069,1.05625,0.706,0.5614,330.39628,0.0,0.509952451,7,0.639,37.15735675,Not available,-63.93335787,-6.726,1,0.6559999999999999,756277,Perverting Mankind,,SONCJLY12AB0187193,311.269,0.355,0.31273,120.016,chill-out,0.867784427,4,0.804,The Real Trick,2010,508
0.36980382799999995,AR2AGLK1187B9AAAD0,Year Long Disaster,,0,0.078,0.42818,1.0,0.06692999999999999,222.04036000000002,0.131,0.78041271,9,0.493,34.053490000000004,"Los Angeles, CA",-118.24531999999999,-4.776,1,0.396,707594,Black Magic; All Mysteries Revealed,0.650248724,SOBFTUR12AB0184285,217.025,0.475,0.06692999999999999,166.025,stoner rock,0.9827472270000001,4,0.792,Stranger In My Room,2010,528
0.397569595,ARNJVSL1187B99AFD4,2raumwohnung,german,1,0.043,0.12899000000000002,1.0,0.12899000000000002,234.34403999999998,0.33399999999999996,0.664559979,1,0.735,52.51606999999999,"Berlin, Germany",13.37698,-5.239,1,0.6920000000000001,718282,Rette Mich SpA$?ter,0.460484845,SOJYNQE12AB0186EAB,228.635,0.941,0.12899000000000002,124.992,tech house,0.983719661,4,0.7809999999999999,Rette Mich SpA$?ter (Michael Ilbert Radio Mix),2010,100
0.40596736899999997,ARKL75U1187FB5B8B6,BoDeans,,0,0.009000000000000001,0.6456,0.594,0.22693000000000002,216.08444,0.0,0.617608694,9,0.5710000000000001,43.01437,Waukesha WI,-88.23546,-5.892,1,0.52,786709,Mr. Sad Clown,0.355285536,SOVSNJX12AB0189848,211.62099999999998,1.0,0.22693000000000002,147.944,roots rock,0.9770567379999999,4,0.7759999999999999,Back Then,2010,45
0.34873669799999996,ARQZY2A1187B9B7604,Erja Lyytinen,,0,0.529,0.70028,1.0,0.06629,111.80363,0.461,0.5069024999999999,7,1.0,37.15735675,Not available,-63.93335787,-13.411,1,1.0,798891,Voracious Love,0.405115722,SOIZDTU12AB01840C5,111.804,0.079,0.06629,91.76,blues-rock,0.8500368970000001,4,0.774,Soul Of A Man,2010,346
0.533842727,ARVBP9K1187FB48254,Cancer Bats,rock and indie,1,0.005,0.9164700000000001,0.171,0.20854,160.26077,0.0,0.689800593,2,0.157,43.648559999999996,"Toronto, Ontario, Canada",-79.38533000000001,-4.2139999999999995,1,0.36700000000000005,782958,Bears_ Mayors_ Scraps and Bones,0.642218428,SOTLJGY12AB0188E32,156.665,0.5489999999999999,0.20854,168.90099999999998,southern rock,0.9434609270000001,4,0.7490000000000001,Dead Wrong,2010,45
0.562506672,ARBNXYA1187FB51C50,Daddy Yankee,hip hop rnb and dance hall,1,0.02,0.69293,0.21600000000000003,0.69293,172.90403999999998,0.0,0.908984296,1,0.0,18.22328,Puerto Rico,-66.42889,-4.064,1,0.0,792168,Daddy Yankee Mundial,0.74498651,SOCSXZF12AC468D3E3,169.74400000000003,0.406,0.36865,93.029,reggaeton,1.0,4,0.748,Descontrol,2010,717
0.429097812,ARB5TJM1187B9A71FD,Finntroll,finnish,1,0.28800000000000003,1.0765,0.47,0.44295,214.30812000000003,0.0,0.636436672,10,0.6659999999999999,37.15735675,Not available,-63.93335787,-5.061,1,0.511,749637,Nifelvind,0.65555475,SOGNIKB12AB0187D8B,210.733,0.28600000000000003,0.28436,95.035,heavy metal,1.0,4,0.742,Ett NorrskensdAY=d,2010,978
0.7125349529999999,ARKQQZA12086C116FC,B.o.B,united states,1,0.022000000000000002,1.1388,0.0,0.5928800000000001,269.63546,5.2829999999999995,0.768223625,10,0.40299999999999997,38.8991,Washington DC,-77.029,-5.388,1,0.41100000000000003,803358,B.o.B Presents: The Adventures of Bobby Ray,1.0,SOULTKQ12AB018A183,258.461,0.68,0.31134,104.038,dirty south rap,0.949672345,4,0.742,Nothin' On You [feat. Bruno Mars] (Album Version),2010,349
0.511054354,ARSHZBZ1187B98A445,Joe Bonamassa,blues rock,1,0.065,1.7886400000000002,0.976,0.19394,258.7424,0.136,0.6759195570000001,7,0.735,37.15735675,Not available,-63.93335787,-7.355,1,0.632,777947,Black Rock,0.806399867,SOACMGG12AB0189F0D,249.481,1.0,0.19394,75.064,blues-rock,0.916254371,3,0.741,I Know A Place,2010,216
0.395352793,AR9YI7H1187B9960E3,Dobet GnahorA(c),,0,0.49700000000000005,0.8126800000000001,0.7,0.23945,251.79382999999999,0.309,0.45005356799999996,2,0.292,37.15735675,BELGIUM,-63.93335787,-12.378,1,0.349,800719,Djekpa la you,0.48456253,SOXNYWA12AB01877E8,245.023,0.0,0.23945,108.15299999999999,blues-rock,0.93696032,4,0.74,Evigne,2010,924
0.375367267,ARXAHU31187B9B1520,Vex'd,dubstep,3,0.18,0.53538,1.0,0.11607,243.25179,0.0,0.40792493,6,0.502,51.50632,London,-0.12714,-7.8,0,0.294,812979,Cloud Seed,0.633809245,SOSRAMK12AB018814F,235.56599999999997,1.0,0.11607,142.21200000000002,dubstep,1.0,4,0.68,Disposition (feat. Jest),2010,157
0.47442817299999995,AROKAO61187FB38105,Four Tet,uk,1,0.075,0.8094899999999999,0.644,0.33621999999999996,393.84771,0.247,0.7917616959999999,10,0.062,37.15735675,Not available,-63.93335787,-9.857000000000001,1,0.278,707597,There Is Love In You,0.704239415,SOZOEYP12AB0188C9D,379.635,0.156,0.33621999999999996,124.04299999999999,electronic,1.0,4,0.657,Plastic People,2010,0
0.379222861,ARKQN8X1187B99221C,Joe Rogan,,0,0.191,0.48863,0.71,0.48863,179.51301999999998,0.0,0.5109930420000001,1,0.521,40.731970000000004,"Newark, NJ",-74.17418,-5.475,1,0.517,775673,Talking Monkeys In Space,0.355285536,SOMCMRN12AC3DF400A,179.513,0.33299999999999996,0.26172,134.112,comedy,0.82150099,3,0.628,Telepathy/Ted Haggard Got Cured of the Gay,2010,508
0.40523469100000004,ARJ9DSA1187B990E00,John Mayall & The Bluesbreakers,rock,2,0.006999999999999999,0.79792,0.985,0.1386,292.91057,0.413,0.626803106,6,0.539,37.15735675,Not available,-63.93335787,-9.11,0,0.639,300489,Wake Up Call,0.523759152,SOZQVBA12A8C13CAAD,289.808,0.24,0.1386,89.949,blues-rock,0.97665497,4,0.588,Nature's Disappearing,2010,806
